freq_invcm,wavlen_um,path_thermal_cm,path_thermal_mum,surface_emission_cm,surface_emission_umu,surface_reflected_cm,surface_reflected_mum,total_radiance_cm,total_radiance_mum,integral_cm,total_trans
270.0,37.037,2.12e-11,1.55e-10,8.65e-06,6.31e-05,0.0,0.0,8.65e-06,6.31e-05,0.000959,1.0
272.0,36.765,2.23e-11,1.65e-10,8.73e-06,6.46e-05,0.0,0.0,8.73e-06,6.46e-05,0.000976,1.0
274.0,36.496,2.47e-11,1.85e-10,8.81e-06,6.61e-05,0.0,0.0,8.81e-06,6.61e-05,0.000994,1.0
276.0,36.232,2.58e-11,1.96e-10,8.88e-06,6.77e-05,0.0,0.0,8.88e-06,6.77e-05,0.00101,1.0
278.0,35.971,2.56e-11,1.98e-10,8.96e-06,6.92e-05,0.0,0.0,8.96e-06,6.92e-05,0.00103,1.0
280.0,35.714,2.67e-11,2.09e-10,9.04e-06,7.08e-05,0.0,0.0,9.04e-06,7.08e-05,0.00105,1.0
282.0,35.461,2.78e-11,2.21e-10,9.11e-06,7.25e-05,0.0,0.0,9.11e-06,7.25e-05,0.00107,1.0
284.0,35.211,2.91e-11,2.35e-10,9.19e-06,7.41e-05,0.0,0.0,9.19e-06,7.41e-05,0.00108,1.0
286.0,34.965,3.06e-11,2.5e-10,9.26e-06,7.58e-05,0.0,0.0,9.26e-06,7.58e-05,0.0011,1.0
288.0,34.722,3.19e-11,2.65e-10,9.34e-06,7.75e-05,0.0,0.0,9.34e-06,7.75e-05,0.00112,1.0
290.0,34.483,3.35e-11,2.81e-10,9.41e-06,7.92e-05,0.0,0.0,9.41e-06,7.92e-05,0.00114,1.0
292.0,34.247,3.5e-11,2.98e-10,9.49e-06,8.09e-05,0.0,0.0,9.49e-06,8.09e-05,0.00116,1.0
294.0,34.014,3.65e-11,3.15e-10,9.56e-06,8.26e-05,0.0,0.0,9.56e-06,8.26e-05,0.00118,1.0
296.0,33.784,3.81e-11,3.34e-10,9.64e-06,8.44e-05,0.0,0.0,9.64e-06,8.44e-05,0.0012,1.0
298.0,33.557,3.99e-11,3.54e-10,9.71e-06,8.62e-05,0.0,0.0,9.71e-06,8.62e-05,0.00122,1.0
300.0,33.333,4.17e-11,3.76e-10,9.78e-06,8.8e-05,0.0,0.0,9.78e-06,8.8e-05,0.00124,0.99999
302.0,33.113,4.38e-11,4e-10,9.85e-06,8.99e-05,0.0,0.0,9.85e-06,8.99e-05,0.00126,0.99999
304.0,32.895,4.58e-11,4.24e-10,9.93e-06,9.17e-05,0.0,0.0,9.93e-06,9.17e-05,0.00128,0.99999
306.0,32.68,4.8e-11,4.49e-10,1e-05,9.36e-05,0.0,0.0,1e-05,9.36e-05,0.0013,0.99999
308.0,32.468,5e-11,4.74e-10,1.01e-05,9.55e-05,0.0,0.0,1.01e-05,9.55e-05,0.00132,0.99999
310.0,32.258,5.22e-11,5.02e-10,1.01e-05,9.74e-05,0.0,0.0,1.01e-05,9.74e-05,0.00134,0.99999
312.0,32.051,5.46e-11,5.31e-10,1.02e-05,9.94e-05,0.0,0.0,1.02e-05,9.94e-05,0.00136,0.99999
314.0,31.847,5.72e-11,5.64e-10,1.03e-05,0.000101,0.0,0.0,1.03e-05,0.000101,0.00138,0.99999
316.0,31.646,5.99e-11,5.98e-10,1.03e-05,0.000103,0.0,0.0,1.03e-05,0.000103,0.0014,0.99999
318.0,31.447,6.24e-11,6.31e-10,1.04e-05,0.000105,0.0,0.0,1.04e-05,0.000105,0.00142,0.99999
320.0,31.25,6.5e-11,6.66e-10,1.05e-05,0.000107,0.0,0.0,1.05e-05,0.000107,0.00144,0.99999
322.0,31.056,6.81e-11,7.06e-10,1.06e-05,0.000109,0.0,0.0,1.06e-05,0.000109,0.00146,0.99999
324.0,30.864,7.14e-11,7.49e-10,1.06e-05,0.000112,0.0,0.0,1.06e-05,0.000112,0.00148,0.99999
326.0,30.675,7.45e-11,7.92e-10,1.07e-05,0.000114,0.0,0.0,1.07e-05,0.000114,0.0015,0.99999
328.0,30.488,7.77e-11,8.36e-10,1.08e-05,0.000116,0.0,0.0,1.08e-05,0.000116,0.00153,0.99999
330.0,30.303,8.11e-11,8.83e-10,1.08e-05,0.000118,0.0,0.0,1.08e-05,0.000118,0.00155,0.99999
332.0,30.12,8.5e-11,9.37e-10,1.09e-05,0.00012,0.0,0.0,1.09e-05,0.00012,0.00157,0.99999
334.0,29.94,8.89e-11,9.92e-10,1.1e-05,0.000122,0.0,0.0,1.1e-05,0.000122,0.00159,0.99999
336.0,29.762,9.27e-11,1.05e-09,1.1e-05,0.000124,0.0,0.0,1.1e-05,0.000124,0.00161,0.99999
338.0,29.586,9.69e-11,1.11e-09,1.11e-05,0.000127,0.0,0.0,1.11e-05,0.000127,0.00163,0.99999
