freq_invcm,wavlen_um,path_thermal_cm,path_thermal_mum,surface_emission_cm,surface_emission_umu,surface_reflected_cm,surface_reflected_mum,total_radiance_cm,total_radiance_mum,integral_cm,total_trans
1040.0,9.615,1.61e-06,0.000174,7.16e-06,0.000774,0.0,0.0,8.77e-06,0.000948,0.00894,0.79807
1042.0,9.597,1.36e-06,0.000147,7.41e-06,0.000805,0.0,0.0,8.77e-06,0.000952,0.00896,0.82969
1044.0,9.579,1.27e-06,0.000139,7.47e-06,0.000815,0.0,0.0,8.75e-06,0.000953,0.00897,0.83961
1046.0,9.56,1.1e-06,0.00012,7.64e-06,0.000836,0.0,0.0,8.74e-06,0.000957,0.00899,0.86218
1048.0,9.542,1.41e-06,0.000154,7.24e-06,0.000795,0.0,0.0,8.65e-06,0.00095,0.00901,0.81983
1050.0,9.524,1.8e-06,0.000198,6.74e-06,0.000743,0.0,0.0,8.54e-06,0.000941,0.00903,0.76603
1052.0,9.506,1.47e-06,0.000163,7.1e-06,0.000785,0.0,0.0,8.57e-06,0.000948,0.00904,0.80997
1054.0,9.488,1.23e-06,0.000137,7.34e-06,0.000816,0.0,0.0,8.58e-06,0.000953,0.00906,0.84118
1056.0,9.47,1.45e-06,0.000162,7.04e-06,0.000785,0.0,0.0,8.49e-06,0.000947,0.00908,0.80975
1058.0,9.452,1.49e-06,0.000167,6.97e-06,0.00078,0.0,0.0,8.46e-06,0.000947,0.00909,0.80464
1060.0,9.434,1.7e-06,0.000191,6.67e-06,0.00075,0.0,0.0,8.38e-06,0.000941,0.00911,0.77378
1062.0,9.416,1.59e-06,0.00018,6.77e-06,0.000763,0.0,0.0,8.36e-06,0.000943,0.00913,0.78782
1064.0,9.398,1.82e-06,0.000206,6.41e-06,0.000725,0.0,0.0,8.23e-06,0.000931,0.00914,0.74884
1066.0,9.381,2.52e-06,0.000287,5.43e-06,0.000617,0.0,0.0,7.96e-06,0.000904,0.00916,0.63746
1068.0,9.363,1.71e-06,0.000195,6.48e-06,0.000739,0.0,0.0,8.19e-06,0.000934,0.00918,0.76392
1070.0,9.346,1.04e-06,0.000119,7.3e-06,0.000835,0.0,0.0,8.33e-06,0.000954,0.00919,0.86345
1072.0,9.328,1.58e-06,0.000182,6.59e-06,0.000758,0.0,0.0,8.17e-06,0.000939,0.00921,0.78291
1074.0,9.311,2.31e-06,0.000266,5.65e-06,0.000651,0.0,0.0,7.95e-06,0.000917,0.00923,0.67348
1076.0,9.294,1.6e-06,0.000186,6.49e-06,0.000752,0.0,0.0,8.1e-06,0.000938,0.00924,0.77812
1078.0,9.276,1.04e-06,0.000121,7.15e-06,0.000831,0.0,0.0,8.19e-06,0.000952,0.00926,0.85961
1080.0,9.259,1.01e-06,0.000118,7.15e-06,0.000833,0.0,0.0,8.16e-06,0.000952,0.00927,0.86279
1082.0,9.242,1.01e-06,0.000119,7.11e-06,0.000833,0.0,0.0,8.13e-06,0.000951,0.00929,0.8624
1084.0,9.225,1.14e-06,0.000134,6.93e-06,0.000814,0.0,0.0,8.07e-06,0.000948,0.00931,0.84325
1086.0,9.208,1.18e-06,0.000139,6.84e-06,0.000807,0.0,0.0,8.02e-06,0.000946,0.00932,0.83662
1088.0,9.191,1.06e-06,0.000126,6.95e-06,0.000823,0.0,0.0,8.02e-06,0.000949,0.00934,0.85358
1090.0,9.174,1.71e-06,0.000203,6.1e-06,0.000725,0.0,0.0,7.81e-06,0.000928,0.00935,0.75193
1092.0,9.158,1.8e-06,0.000215,5.96e-06,0.000711,0.0,0.0,7.76e-06,0.000925,0.00937,0.73795
1094.0,9.141,1.01e-06,0.000121,6.92e-06,0.000828,0.0,0.0,7.93e-06,0.000949,0.00939,0.8598
1096.0,9.124,9.12e-07,0.00011,6.99e-06,0.00084,0.0,0.0,7.91e-06,0.00095,0.0094,0.87291
1098.0,9.107,1.36e-06,0.000164,6.41e-06,0.000773,0.0,0.0,7.77e-06,0.000937,0.00942,0.80326
1100.0,9.091,2.57e-06,0.000311,4.82e-06,0.000583,0.0,0.0,7.39e-06,0.000894,0.00943,0.60608
1102.0,9.074,2.07e-06,0.000252,5.43e-06,0.000659,0.0,0.0,7.5e-06,0.000911,0.00945,0.6861
1104.0,9.058,1.25e-06,0.000153,6.47e-06,0.000788,0.0,0.0,7.72e-06,0.000941,0.00946,0.8206
1106.0,9.042,2.18e-06,0.000266,5.22e-06,0.000638,0.0,0.0,7.4e-06,0.000905,0.00948,0.66482
1108.0,9.025,2e-06,0.000246,5.39e-06,0.000662,0.0,0.0,7.39e-06,0.000907,0.00949,0.6901
1110.0,9.009,1.66e-06,0.000205,5.82e-06,0.000717,0.0,0.0,7.48e-06,0.000922,0.00951,0.74799
1112.0,8.993,2.22e-06,0.000275,5e-06,0.000619,0.0,0.0,7.23e-06,0.000894,0.00952,0.64603
1114.0,8.977,1.33e-06,0.000165,6.14e-06,0.000762,0.0,0.0,7.47e-06,0.000927,0.00954,0.79685
1116.0,8.961,1.07e-06,0.000133,6.47e-06,0.000806,0.0,0.0,7.54e-06,0.000939,0.00955,0.8425
1118.0,8.945,1.36e-06,0.000169,6.1e-06,0.000763,0.0,0.0,7.46e-06,0.000932,0.00957,0.79784
